Player;Team;Position;Annual Salary;Contract Yrs;Contract Amt;Contract Thru
Jeffries, Jared;New York Knicks;C-F;$6.049.400 ;5;$30.000.000 ;2010-11
Thomas, Tim;New York Knicks;F;$6.049.400 ;4;$24.000.000 ;2009-10
Duhon, Chris;New York Knicks;G;$5.585.000 ;2;$12.000.000 ;2009-10
Gallinari, Danilo;New York Knicks;F;$2.873.520 ;5;$19.047.005 ;2012-13
Robinson, Nate;New York Knicks;G;$2.020.179 ;4;$5.580.000 ;2008-09 (t)
Lee, David;New York Knicks;C-F;$1.788.033 ;4;$4.566.000 ;2008-09 (t)
Chandler, Wilson;New York Knicks;F;$1.173.480 ;5;$6.620.411 ;2011-12 (t)
Roberson, Anthony;New York Knicks;G;$797.581 ;2;$1.658.968 ;2009-10
Wilcox, Chris;Oklahoma City Thunder;C;$6.750.000 ;3;$24.000.000 ;2008-09
Collison, Nick;Oklahoma City Thunder;F-C;$6.250.000 ;4;$26.000.000 ;2010-11
Watson, Earl;Oklahoma City Thunder;G;$6.200.000 ;5;$29.000.000 ;2009-10
Mason, Desmond;Oklahoma City Thunder;G-F;$5.400.000 ;2;$11.000.000 ;2008-09
Smith, Joe;Oklahoma City Thunder;F;$4.795.000 ;2;$10.000.000 ;2008-09
Krstic, Nenad;Oklahoma City Thunder;C;$4.778.548 ;3;$15.600.000 ;2010-11
Durant, Kevin;Oklahoma City Thunder;F-G;$4.484.040 ;5;$21.352.150 ;2010-11 (t)
Swift, Robert;Oklahoma City Thunder;C;$3.579.131 ;4;$7.895.000 ;2007-08 (t)
Westbrook, Russell;Oklahoma City Thunder;G;$3.493.680 ;5;$23.053.162 ;2012-13
Green, Jeff;Oklahoma City Thunder;F;$3.284.640 ;5;$15.768.441 ;2010-11
Atkins, Chucky;Oklahoma City Thunder;G;$3.240.000 ;2;$6.600.000 ;2008-09 (t)
Wilkins, Damien;Oklahoma City Thunder;G-F;$3.100.000 ;5;$15.000.000 ;2009-10 (p)
Sene , Mouhamed;Oklahoma City Thunder;C;$2.252.400 ;4;$9.189.000 ;2009-10 (t)
Elson, Francisco;Oklahoma City Thunder;C-F;$1.700.000 ;2;$6.000.000 ;2007-08
White, D.J.;Oklahoma City Thunder;F;$964.080 ;5;$8.112.118 ;2012-13
Weaver, Kyle;Oklahoma City Thunder;G;$806.452 ;4;$3.612.904 ;2011-12
Hill, Steven;Oklahoma City Thunder;C;$423.909 ;1;$423.909 ;2008-09
Brown, Bobby;Oklahoma City Thunder;G;$32.842 ;1;$32.842 ;2008-09
Lewis, Rashard;Orlando Magic;F;$16.447.871 ;6;$118.200.000 ;2012-13
Howard, Dwight;Orlando Magic;C;$13.041.250 ;5;$80.000.000 ;2011-12
Foyle, Adonal;Orlando Magic;C;$8.200.000 ;2;$7.600.000 ;2009-10
Nelson, Jameer;Orlando Magic;G;$7.600.000 ;5;$35.000.000 ;2011-12 (p)
Turkoglu, Hedo;Orlando Magic;F;$6.864.200 ;6;$36.770.000 ;2008-09 (p)
Hunter, Othello;Orlando Magic;C-F;$5.746.000 ;4;$22.000.000 ;2009-10
Pietrus, Mickael;Orlando Magic;G-F;$4.900.000 ;4;$21.500.000 ;2011-12
Cook, Brian;Orlando Magic;F;$3.500.000 ;3;$10.500.000 ;2009-10 (p)
Redick , J.J.;Orlando Magic;G;$2.139.720 ;4;$8.840.000 ;2009-10 (t)
Johnson, Anthony;Orlando Magic;G;$1.900.000 ;2;$3.800.000 ;2009-10
Lee, Courtney;Orlando Magic;G;$1.176.240 ;5;$9.240.347 ;2012-13
Wilks, Mike;Orlando Magic;G;$1.040.000 ;1;$217.584 ;2007-08
Jones, Dwayne;Orlando Magic;F-C;$826.969 ;1;$770.610 ;2007-08
Richardson, Jeremy;Orlando Magic;G-F;$769.431 ;1;$305.798 ;2007-08
Gortat, Marcin;Orlando Magic;F-C;$711.517 ;3;$1.138.680 ;2009-10
Brand, Elton;Philadelphia 76ers;F;$13.757.844 ;5;$82.170.000 ;2012-13
Iguodala, Andre;Philadelphia 76ers;G-F;$11.300.000 ;6;$80.000.000 ;2013-14
Dalembert, Samuel;Philadelphia 76ers;C;$11.138.564 ;6;$58.000.000 ;2010-11
Miller, Andre;Philadelphia 76ers;G;$10.233.333 ;6;$51.000.000 ;2008-09
Marshall, Donyell;Philadelphia 76ers;F;$5.950.894 ;4;$22.000.000 ;2008-09
Evans, Reggie;Philadelphia 76ers;F;$4.640.000 ;5;$23.000.000 ;2010-11
Williams, Louis;Philadelphia 76ers;G;$4.500.000 ;5;$25.000.000 ;2012-13
Green, Willie;Philadelphia 76ers;G;$3.388.000 ;5;$17.000.000 ;2010-11
Young, Thaddeus;Philadelphia 76ers;F;$1.968.120 ;5;$9.896.348 ;2011-12 (t)
Douglas-Roberts, Chris;Philadelphia 76ers;F;$1.573.000 ;2;$3.102.873 ;2008-09
Speights, Marreese;Philadelphia 76ers;F-C;$1.542.600 ;5;$11.519.458 ;2012-13
Smith, Jason;Philadelphia 76ers;F;$1.326.360 ;5;$7.114.359 ;2011-12 (t)
Ratliff, Theo;Philadelphia 76ers;C;$1.262.375 ;3;$36.000.000 ;2007-08
Rush, Kareem;Philadelphia 76ers;G;$998.398 ;1;$770.610 ;2007-08
Ivey, Royal;Philadelphia 76ers;G;$854.957 ;1;$770.610 ;2007-08
O'Neal, Shaquille;Phoenix Suns;C;$20.000.000 ;5;$100.000.000 ;2009-10
Stoudemire, Amare;Phoenix Suns;F-C;$15.070.550 ;3;$49.134.975 ;2010-11
Nash, Steve;Phoenix Suns;G;$12.250.000 ;6;$66.000.000 ;2009-10 (t)
Richardson, Jason;Phoenix Suns;G;$12.222.221 ;6;$70.000.000 ;2010-11
Barbosa, Leandro;Phoenix Suns;G;$6.100.000 ;5;$33.000.000 ;2010-11 (p)
Hill, Grant;Phoenix Suns;F-G;$1.976.400 ;2;$3.800.000 ;2008-09
Dragic, Goran;Phoenix Suns;G;$1.700.000 ;4;$7.616.000 ;2011-12
Lopez, Robin;Phoenix Suns;C-F;$1.623.720 ;5;$12.101.079 ;2012-13
Dudley, Jared;Phoenix Suns;F;$1.222.320 ;5;$6.781.706 ;2010-11 (t)
Barnes, Matt;Phoenix Suns;F;$1.200.000 ;1;$3.000.000 ;2007-08
Tucker, Alando;Phoenix Suns;F;$1.001.880 ;5;$5.907.202 ;2011-12 (t)
Amundson , Louis;Phoenix Suns;F;$797.581 ;1;$687.456 ;2007-08(t)
Brown , Dee;Phoenix Suns;G;$242.753 ;1;$242.753 ;2008-09
Sims, Courtney;Phoenix Suns;C;$41.854 ;1;$41.854 ;2008-09
LaFrentz, Raef;Portland Trail Blazers;C-F;$12.722.500 ;7;$69.974.000 ;2008-09
Przybilla, Joel;Portland Trail Blazers;C;$6.310.150 ;5;$32.000.000 ;2010-11
Greg, Oden;Portland Trail Blazers;C;$5.011.680 ;5;$23.823.601 ;2011-12 (t)
Aldridge , LaMarcus;Portland Trail Blazers;F-C;$4.631.400 ;4;$18.833.000 ;2009-10 (t)
Blake, Steve;Portland Trail Blazers;G;$4.590.000 ;3;$12.000.000 ;2009-10
Outlaw, Travis;Portland Trail Blazers;F;$4.000.000 ;3;$12.000.000 ;2009-10
Webster, Martell;Portland Trail Blazers;G-F;$3.771.133 ;4;$20.000.000 ;2011-12
Frye, Channing;Portland Trail Blazers;F-C;$3.163.769 ;4;$10.140.000 ;2008-09
Roy , Brandon;Portland Trail Blazers;G;$3.084.240 ;4;$12.560.000 ;2009-10 (t)
Diogu, Ike;Portland Trail Blazers;F;$2.912.822 ;4;$9.325.000 ;2008-09 (t)
Bayless, Jerryd;Portland Trail Blazers;G;$1.993.560 ;5;$13.636.402 ;2012-13
Rodriguez , Sergio;Portland Trail Blazers;G;$1.048.800 ;4;$4.833.000 ;2009-10 (t)
Fernandez, Rudy;Portland Trail Blazers;G-F;$1.047.840 ;5;$8.568.268 ;2012-13
Batum, Nicolas;Portland Trail Blazers;F;$1.040.640 ;5;$8.677.636 ;2012-13
Randolph, Shavlik;Portland Trail Blazers;F;$826.269 ;2;$2.080.000 ;2007-08
Miller, Brad;Sacramento Kings;C;$11.375.000 ;7;$67.000.000 ;2009-10
Martin, Kevin;Sacramento Kings;G;$9.260.335 ;5;$50.000.000 ;2011-12
Thomas, Kenny;Sacramento Kings;F;$8.562.000 ;7;$50.000.000 ;2009-10
Abdur-Rahim, Shareef;Sacramento Kings;F;$6.200.000 ;2;$12.800.000 ;2009-10
Jackson, Bobby;Sacramento Kings;G;$6.090.000 ;3;$17.010.000 ;2008-09
Moore, Mikki;Sacramento Kings;F-C;$5.784.480 ;3;$18.000.000 ;2009-10
Udrih, Beno;Sacramento Kings;G;$5.585.000 ;5;$34.000.000 ;2012-13
Salmons, John;Sacramento Kings;F-G;$5.104.000 ;5;$25.500.000 ;2010-11
Williams , Shelden;Sacramento Kings;F-C;$3.395.760 ;4;$13.825.000 ;2009-10 (t)
Hawes, Spencer;Sacramento Kings;F-C;$2.180.760 ;5;$10.593.184 ;2011-12 (t)
Garcia, Francisco;Sacramento Kings;G-F;$1.983.453 ;5;$30.000.000 ;2012-13
Thompson, Jason;Sacramento Kings;F;$1.893.840 ;5;$13.238.811 ;2012-13
Douby , Quincy;Sacramento Kings;G;$1.427.040 ;4;$6.120.000 ;2009-10 (t)
Cassell, Sam;Sacramento Kings;G;$1.262.275 ;2;$13.000.000 ;2007-08
Greene, Donte;Sacramento Kings;F;$971.160 ;5;$8.151.581 ;2012-13
Brown, Bobby;Sacramento Kings;G;$442.114 ;2;$1.178.534 ;2009-10
Duncan, Tim;San Antonio Spurs;F-C;$20.598.704 ;2;$40.000.000 ;2008-09
Parker, Tony;San Antonio Spurs;G;$11.550.000 ;6;$66.000.000 ;2010-11
Ginobili, Manu;San Antonio Spurs;G;$9.905.248 ;6;$52.000.000 ;2009-10
Thomas, Kurt;San Antonio Spurs;C-F;$4.200.000 ;2;$8.000.000 ;2009-10
Bowen, Bruce;San Antonio Spurs;F;$4.000.000 ;2;$8.000.000 ;2008-09
Oberto, Fabricio;San Antonio Spurs;C-F;$3.600.000 ;3;$10.500.000 ;2009-10
Mason, Roger;San Antonio Spurs;G;$3.500.000 ;2;$7.000.000 ;2009-10
Bonner, Matt;San Antonio Spurs;C;$2.983.500 ;3;$9.000.000 ;2009-10
Finley, Michael;San Antonio Spurs;F-G;$2.500.000 ;2;$5.000.000 ;2009-10
Vaughn, Jacque;San Antonio Spurs;G;$1.262.275 ;2;$2.500.000 ;2008-09
Udoka, Ime;San Antonio Spurs;F-G;$1.080.000 ;2;$2.000.000 ;2008-09
Hill, George;San Antonio Spurs;G;$1.006.200 ;5;$8.400.866 ;2012-13
Mahinmi, Ian;San Antonio Spurs;C;$841.000 ;5;$5.118.179 ;2011-12 (t)
Croshere, Austin;San Antonio Spurs;F;$601.436 ;1;$601.436 ;2008-09
Hairston, Malik;San Antonio Spurs;G;$299.077 ;1;$299.077 ;2008-09
Ahearn, Blake;San Antonio Spurs;G;$205.084 ;1;$205.084 ;2008-09
Tolliver, Anthony;San Antonio Spurs;C;$187.248 ;1;$187.248 ;2008-09
Farmer, Desmon;San Antonio Spurs;G;$83.708 ;1;$83.708 ;2008-09
O'Neal, Jermaine;Toronto Raptors;C-F;$21.372.000 ;7;$126.590.000 ;2007-08 (p)
Marion, Shawn;Toronto Raptors;F;$17.810.000 ;6;$79.000.000 ;2008-09
Bosh, Chris;Toronto Raptors;F;$14.410.581 ;4;$63.000.000 ;2011-12 (p)
Calderon, Jose;Toronto Raptors;G;$7.348.018 ;5;$40.000.000 ;2012-13
Kapono, Jason;Toronto Raptors;G-F;$5.784.480 ;4;$24.000.000 ;2010-11 (p)
Bargnani , Andrea;Toronto Raptors;C-F;$5.176.440 ;4;$21.044.000 ;2009-10 (t)
Parker , Anthony;Toronto Raptors;G;$4.550.000 ;3;$12.000.000 ;2008-09
Banks, Marcus;Toronto Raptors;G;$4.260.000 ;5;$21.000.000 ;2010-11
Garbajosa , Jorge;Toronto Raptors;F;$4.250.000 ;3;$12.000.000 ;2008-09
Humphries, Kris;Toronto Raptors;F;$3.200.000 ;3;$9.000.000 ;2009-10 (p)
Graham, Joey;Toronto Raptors;F;$2.449.184 ;4;$6.930.000 ;2008-09 (t)
Ukic, Roko;Toronto Raptors;G;$1.250.000 ;3;$4.000.000 ;2010-11
Voskuhl, Jake;Toronto Raptors;C;$835.491 ;2;$4.000.000 ;2007-08
O'Bryant , Patrick;Toronto Raptors;C;$797.581 ;4;$9.670.000 ;2009-10 (t)
Moon, Jamario;Toronto Raptors;F;$711.517 ;3;$1.138.680 ;2009-10
Solomon, Willie;Toronto Raptors;G;$711.517 ;1;$711.517 ;2008-09
Jawai, Nathan;Toronto Raptors;F;$442.114 ;2;$1.178.534 ;2009-10
Kirilenko, Andrei;Utah Jazz;F;$15.106.000 ;6;$86.000.000 ;2010-11
Boozer, Carlos;Utah Jazz;F;$11.593.817 ;6;$70.000.000 ;2008-09 (p)
Okur, Mehmet;Utah Jazz;C-F;$9.000.000 ;6;$50.000.000 ;2009-20 (p)
Harpring, Matt;Utah Jazz;F;$6.000.000 ;4;$25.000.000 ;2009-10
Williams, Deron;Utah Jazz;G;$5.069.449 ;4;$63.700.000 ;2011-12
Korver, Kyle;Utah Jazz;G-F;$4.881.818 ;6;$27.000.000 ;2010-11
Miles, C.J.;Utah Jazz;F-G;$3.700.000 ;4;$15.000.000 ;2011-12
Collins, Jarron;Utah Jazz;C;$2.074.302 ;3;$7.000.000 ;2008-09
Knight, Brevin;Utah Jazz;G;$2.000.000 ;2;$4.000.000 ;2008-09
Brewer , Ronnie;Utah Jazz;G;$1.834.680 ;4;$7.862.000 ;2009-10
Price, Ronnie;Utah Jazz;G;$1.188.000 ;1;$1.100.000 ;2007-08
Koufos, Kosta;Utah Jazz;C;$1.129.320 ;5;$9.052.309 ;2012-13
Almond, Morris;Utah Jazz;G;$1.081.440 ;3;$2.087.400 ;2009-10
Fesenko, Kyrylo;Utah Jazz;C;$810.000 ;4;$2.430.000 ;2010-11 (t)
Millsap , Paul;Utah Jazz;F;$797.581 ;3;$2.110.000 ;2008-09
Arenas, Gilbert;Washington Wizards;G;$14.653.466 ;6;$111.000.000 ;2013-14
Jamison, Antawn;Washington Wizards;F;$9.923.285 ;4;$50.000.000 ;2011-12
Butler, Caron;Washington Wizards;F;$9.249.980 ;6;$48.450.000 ;2010-11
Thomas, Etan;Washington Wizards;C;$6.864.200 ;2;$14.218.700 ;2009-10
James, Mike;Washington Wizards;G;$6.244.083 ;4;$23.400.000 ;2009-10
Haywood, Brendan;Washington Wizards;C;$5.500.000 ;5;$25.000.000 ;2009-10
Songaila, Darius;Washington Wizards;F;$4.234.000 ;5;$23.000.000 ;2010-11
Stevenson, DeShawn;Washington Wizards;G;$3.616.071 ;4;$16.000.000 ;2010-11 (p)
Blatche, Andray;Washington Wizards;C;$2.739.669 ;4;$12.000.000 ;2010-11
Young, Nick;Washington Wizards;G;$1.602.960 ;5;$8.504.857 ;2011-12 (t)
Pecherov, Oleksiy;Washington Wizards;C-F;$1.446.720 ;5;$7.717.764 ;2011-12 (t)
McGee, JaVale;Washington Wizards;C-F;$1.392.240 ;5;$10.446.465 ;2012-13
Dixon, Juan;Washington Wizards;G;$998.398 ;3;$8.000.000 ;2007-08
McGuire, Dominic;Washington Wizards;F;$711.517 ;4;$1.964.177 ;2010-11
